Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  9.81      0.89     0.89                             operator-(b2Vec2 const&, b2Vec2 const&)
  7.83      1.60     0.71                             b2ContactSolver::SolveVelocityConstraints()
  7.44      2.28     0.68                             b2Vec2::b2Vec2(float, float)
  7.17      2.93     0.65                             operator*(float, b2Vec2 const&)
  5.07      3.39     0.46                             b2Mul(b2Transform const&, b2Vec2 const&)
  3.91      3.74     0.36                             b2Cross(float, b2Vec2 const&)
  3.20      4.03     0.29                             operator+(b2Vec2 const&, b2Vec2 const&)
  3.20      4.32     0.29                             b2Dot(b2Vec2 const&, b2Vec2 const&)
  2.87      4.58     0.26                             b2World::Solve(b2TimeStep const&)
  1.98      4.76     0.18                             b2Mul(b2Rot const&, b2Vec2 const&)
  1.76      4.92     0.16                             b2Min(b2Vec2 const&, b2Vec2 const&)
  1.65      5.07     0.15                             b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&)
  1.54      5.21     0.14                             float b2Clamp<float>(float, float, float)
  1.49      5.35     0.14                             b2Vec2::b2Vec2()
  1.32      5.47     0.12                             b2MulT(b2Rot const&, b2Vec2 const&)
  1.21      5.58     0.11                             b2Cross(b2Vec2 const&, float)
  1.21      5.69     0.11                             b2Vec2::operator-=(b2Vec2 const&)
  1.16      5.79     0.11                             b2Cross(b2Vec2 const&, b2Vec2 const&)
  1.10      5.89     0.10                             b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*)
  1.10      5.99     0.10                             b2ContactSolver::InitializeVelocityConstraints()
  1.10      6.09     0.10                             b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool)
  0.99      6.18     0.09                             b2ContactSolver::SolvePositionConstraints()
  0.88      6.26     0.08                             float b2Min<float>(float, float)
  0.88      6.34     0.08                             b2World::DrawDebugData()
  0.88      6.42     0.08                             b2World::SolveTOI(b2TimeStep const&)
  0.77      6.49     0.07                             b2Max(b2Vec2 const&, b2Vec2 const&)
  0.77      6.56     0.07                             b2Vec2::operator-() const
  0.77      6.63     0.07                             b2Fixture::GetType() const
  0.66      6.69     0.06                             b2EdgeSeparation(b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&)
  0.66      6.75     0.06                             b2Body::IsAwake() const
  0.55      6.80     0.05                             b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&)
  0.55      6.85     0.05                             b2Transform::b2Transform()
  0.55      6.90     0.05                             b2ContactSolver::WarmStart()
  0.55      6.95     0.05                             b2ContactSolver::b2ContactSolver(b2ContactSolverDef*)
  0.55      7.00     0.05                             b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&)
  0.55      7.05     0.05                             b2Contact::GetFixtureA()
  0.55      7.10     0.05                             b2Contact::Update(b2ContactListener*)
  0.55      7.15     0.05                             b2Sweep::GetTransform(b2Transform*, float) const
  0.50      7.20     0.05                             b2DistanceProxy::GetSupport(b2Vec2 const&) const
  0.50      7.24     0.05                             b2Body::IsActive() const
  0.44      7.28     0.04   143072     0.28     0.28  debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&)
  0.44      7.32     0.04                             b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&)
  0.44      7.36     0.04                             b2DynamicTree::InsertLeaf(int)
  0.44      7.40     0.04                             b2ContactManager::Collide()
  0.44      7.44     0.04                             b2StackAllocator::Allocate(int)
  0.44      7.48     0.04                             b2Contact::GetNext()
  0.44      7.52     0.04                             std::sqrt(float)
  0.39      7.56     0.04                             b2Simplex::ReadCache(b2SimplexCache const*, b2DistanceProxy const*, b2Transform const&, b2DistanceProxy const*, b2Transform const&)
  0.33      7.59     0.03   378720     0.08     0.08  debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&)
  0.33      7.62     0.03                             b2TestOverlap(b2AABB const&, b2AABB const&)
  0.33      7.65     0.03                             int b2Max<int>(int, int)
  0.33      7.68     0.03                             b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&)
  0.33      7.71     0.03                             b2PulleyJoint::SolveVelocityConstraints(b2SolverData const&)
  0.33      7.74     0.03                             b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float)
  0.33      7.77     0.03                             b2Rot::b2Rot(float)
  0.33      7.80     0.03                             b2Rot::b2Rot()
  0.33      7.83     0.03                             b2AABB::Combine(b2AABB const&, b2AABB const&)
  0.33      7.86     0.03                             b2Body::GetFixtureList()
  0.33      7.89     0.03                             b2Vec2::SetZero()
  0.33      7.92     0.03                             b2Vec2::operator+=(b2Vec2 const&)
  0.33      7.95     0.03                             b2Mat22::SetZero()
